iter	RMSE
457	20966.86297
458	20955.0698
459	20949.45284
460	20937.52236
461	20907.34815
462	20883.84251
463	20874.63048
464	20839.72519
465	20826.98234
466	20819.26336
467	20810.35621
468	20768.00239
469	20757.52497
470	20747.91353
471	20740.54944
472	20729.12444
473	20692.02409
474	20666.63698
475	20641.65155
476	20630.32515
477	20619.0192
478	20611.12882
479	20603.8198
480	20593.87072
481	20580.4241
482	20572.58835
483	20564.82786
484	20531.30969
485	20503.24109
486	20465.2601
487	20457.02706
488	20443.98005
489	20436.83486
490	20429.72722
491	20411.08379
492	20404.08064
493	20377.65136
494	20346.25138
495	20328.36034
496	20310.713
497	20279.21616
498	20275.21609
499	20264.20055
500	20231.33362
501	20221.56249
502	20209.34439
503	20170.88504
504	20146.27971
505	20112.16871
506	20074.66866
507	20049.05096
508	20019.83882
509	20009.07566
510	19985.71156
511	19976.09871
512	19937.04822
513	19913.12732
514	19896.36371
515	19873.43655
516	19848.60768
517	19837.97442
518	19826.28347
519	19784.24524
520	19773.77903
521	19763.38711
522	19753.04429
523	19742.77185
524	19719.14187
525	19712.61763
526	19705.87905
527	19699.01509
528	19682.37095
529	19656.92111
530	19645.48238
531	19601.48631
532	19591.41198
533	19584.22823
534	19577.62038
535	19567.64446
536	19561.48792
537	19551.57192
538	19543.01182
539	19521.20245
540	19510.31752
541	19498.99294
542	19462.92439
543	19449.4391
544	19441.91506
545	19437.28406
546	19427.48256
547	19406.56072
548	19399.93903
549	19381.06933
550	19374.47517
551	19345.59971
552	19322.29307
553	19312.62544
554	19307.22979
555	19301.01214
556	19277.00374
557	19243.76539
558	19232.83923
559	19193.72508
560	19158.19727
561	19147.70409
562	19140.40319
563	19136.82535
564	19130.27422
565	19123.63202
566	19097.76294
567	19069.59271
568	19060.10355
569	19033.86317
570	19007.15118
571	19000.12019
572	18993.70905
573	18960.75801
574	18933.66724
575	18899.39915
576	18888.71224
577	18885.22697
578	18855.02003
579	18835.28916
580	18828.45327
581	18821.29417
582	18794.37498
583	18786.6359
584	18780.26805
585	18773.63538
586	18758.17022
587	18741.20747
588	18734.87903
589	18715.63964
590	18693.44379
591	18660.90522
592	18654.57895
593	18630.30136
594	18606.60396
595	18596.48187
596	18566.96053
597	18556.19082
598	18549.88623
599	18528.27029
600	18522.58741
601	18513.46272
602	18507.24693
603	18495.21809
604	18476.93367
605	18470.77426
606	18452.16568
607	18416.72132
608	18410.58897
609	18404.21717
610	18390.27643
611	18384.19017
612	18361.41581
613	18334.44375
614	18327.76137
615	18321.03254
616	18312.21656
617	18303.71936
618	18296.37753
619	18272.24406
620	18265.51129
621	18258.94274
622	18231.56678
623	18225.57024
624	18198.70562
625	18172.99653
626	18165.13657
627	18157.40553
628	18130.37343
629	18121.78594
630	18115.38198
631	18110.86123
632	18080.13718
633	18060.8958
634	18030.6819
635	18024.71181
636	18003.37496
637	17997.58962
638	17994.19291
639	17961.25433
640	17932.27455
641	17902.61057
642	17876.90002
643	17844.14201
644	17837.79788
645	17829.77215
646	17824.05191
647	17798.64248
648	17770.10943
649	17742.16694
650	17735.94175
651	17715.91445
652	17709.23204
653	17699.46313
654	17691.63798
655	17686.13292
656	17666.51255
657	17658.14092
658	17652.49658
659	17644.47951
660	17638.28713
661	17632.82492
662	17627.92353
663	17596.29242
664	17590.71471
665	17571.44301
666	17564.63642
667	17559.266
668	17550.63826
669	17545.09906
670	17537.66292
671	17503.83791
672	17492.78263
673	17476.41753
674	17470.88239
675	17458.7739
676	17453.52982
677	17415.80616
678	17396.27366
679	17390.48691
680	17369.23643
681	17363.76121
682	17360.70911
683	17347.2715
